Corner1,Corner2,Corner3,Corner4,Corner5,Corner6,Corner7,Corner8,Corner9,Corner10,Corner11,Corner12,Corner13,Corner14
444.4,424.1,442.9,527.3,244.8,612.5,596.1,378.7,381.9,514.1,389.6,715.4,349.2,527.7
438.7,245.1,633.1,361.9,281.1,561.8,470.5,298.1,395.7,731.8,498.5,531.5,692.6,642.8
628.2,672,369.4,323.2,377.8,370.7,537.7,466.4,535.2,372.3,632,348.5,329.9,360.5
295,484.9,345.9,591,674.8,544.6,300.8,661.3,474.7,563.4,430.7,669,808.7,464.8
437.3,658.9,380.9,279.8,292.6,518.8,659.1,497.3,582.8,743.6,496.2,621.6,534.4,772.1
282.1,283.5,512.9,545.2,332.5,681.4,446.1,484.2,644.6,595,694.9,734.8,413.7,754
299.3,666.9,589.6,296.6,578.8,506.7,428.6,606.4,682.2,311,663.7,564.1,787.9,578.9
669.5,667.4,304,483.3,553.9,444.4,604,686.8,704.5,536.1,570.5,497.1,569.3,523
437.6,589.9,640,274.1,268.2,535.4,498.9,343.7,708.1,661.7,390.2,594.9,304.5,535.7
641.6,324.4,546.6,464.6,486.7,406.1,509.2,631.7,667.9,384.4,481.5,742,605.6,675.9
255.7,444.6,394.2,412.4,281,303.4,640.5,358.7,271.4,633.2,618.5,306.6,736.7,419.3
301.2,410,570.4,296.3,501.9,433.9,367.4,683,463.8,272.3,664.5,705.1,371.5,678.6
442,334.7,410.7,645.7,319.3,713.8,462,257.2,341.7,415.5,357.2,485.2,688.2,684.6
329.5,382.1,405.4,659.4,301.1,446.5,628.7,297.6,629.5,598.9,514.4,534.8,816.4,613.7
328.6,572.4,240.6,278.6,617.2,609.7,536.2,659.9,276,627.3,522.9,360.1,368.6,709.6
597.1,276.3,351.9,345.3,246.4,698.2,609.4,431.4,606,613.5,417.1,433.4,820.4,607.5
543.6,509.3,529.9,235.8,464.1,692.3,665,311.5,369.9,349.1,733,383.4,638.7,762.4
404.4,531.2,545.7,660.3,602.1,435.4,498.9,250.2,710.3,449,529.1,322.3,368.4,351.1
292.8,635.9,465.1,403.7,419.4,462,521.1,713.3,491.6,667.1,570.3,444.7,589.8,413.7
658.4,476.3,250.2,347.7,389.9,232.4,376.9,238.2,384.9,462,534.2,506.6,793.2,518.4
614,267.4,387,284.4,309.3,693.8,419.5,674.3,365.5,717.4,435.5,750.5,762.1,646.7
277.8,497.5,623.3,601.6,380.7,480.8,616.3,282.3,325.4,321.6,584.8,694.5,705.8,628.9
454.7,274.7,489.2,244.8,307.7,632.6,616.8,457.6,638.5,511.4,532.2,580.1,408.4,421.6
461.4,649.4,491,286,539.3,559.1,289,291.1,498.5,427.7,636.7,594.3,381.8,699
443.9,536.3,597.5,380.3,495,317.2,313,691,321.5,623.1,306.8,571.2,745.1,406.5
452.7,686.4,602.5,642,435.4,261.4,325.9,601.2,755.8,439.6,384.8,507.9,463,455.9
567.8,282.4,284.3,660.5,529.7,383,552.7,488.1,380.9,634.1,307.1,514.7,463.3,724.7
374,372.1,530.7,605.3,449.6,513.8,275.2,440.6,403,616.1,524.9,564.4,321.9,356.2
329.9,286.9,302.1,550.7,509.4,382.5,573.2,260.1,671.6,359.6,526,593,730.3,471.5
339.1,536.2,266.1,469.8,395.8,360,323.2,320.9,349.9,685,645.8,753.4,367.1,423.7
466,441.6,276.2,640.7,383.3,491.7,339.9,495.6,655.8,581.2,680.8,349.5,363,526.5
418.9,602.2,516.5,350.8,354.4,639.1,269.9,249.6,376.8,496.4,499.8,378.6,541.5,337.3
636.2,448.1,477.1,460.3,366.6,230.6,399.4,545.6,581,684,510.4,521.2,395.5,439.5
277.3,546.1,500.2,340,671.7,404.9,541.4,635.2,686.5,604.2,605.2,386,412.2,735.4
312.2,506.7,515.1,262.1,503.8,611.5,355.4,506.8,588.9,320.4,718.2,772.4,509.4,564.5
456.7,352.6,595.4,461.6,472.7,593.1,692.5,642.5,671.2,272.7,619.8,362.4,383.3,706.3
396.3,308.7,532.6,646.4,606.8,586.9,576.4,397.9,491.3,300.1,520.9,476.9,515.4,616
603,251.3,468.7,358.5,624.2,514.4,309.9,344.1,600.5,289.1,527.6,333.8,719,639.2
668.7,374.4,246.4,440.8,650.9,566.5,537.5,704.2,456.7,711.8,723.4,449,459,359.4
427.9,322.3,320.9,496.3,246.9,714.9,633.7,553.5,364.7,650.3,659.6,589.2,580.3,423.8
288.1,279.2,257.7,292.3,618.5,413.6,314,404,410.3,529.9,518,766.9,624.2,360.7
267.5,589.6,608.5,391,655.9,652.9,458.5,629.3,332.6,287.2,662.8,602.5,460.7,637.1
647.6,404.6,427.1,497.4,435.3,265.7,538.3,467.9,338.5,661.8,435.4,587.8,740,748
646.7,512.5,324.6,545.9,659.4,456.7,690.1,240.6,588.9,683,422.5,523.8,827.7,559
608.9,404.6,523.1,309.2,556,391.2,235.3,410.8,271.5,677.8,414.4,547.8,810.1,401.8
247.2,600.5,536.9,437,638.4,583.8,584.1,559.1,275,506.3,610.1,762.3,705.7,568.4
491.7,328,550.1,244,425.7,362,531.7,576.2,534.5,754.8,649.5,430.3,352.8,627.4
296.3,266.3,297.2,633.9,369.7,500.4,312.1,568.5,643.5,453.7,420.7,754.9,739.7,713
412.1,246.1,643.2,368.5,313.2,468.2,484.2,535.4,699.1,672.3,527.3,534.1,758.6,569.5
502.1,272.8,355.3,596.7,264.9,361.7,320.6,452.9,424.5,347.2,742.5,521.4,715.1,431.7
547.5,471.2,498.4,364.3,329.8,640.2,670.5,491.7,530.1,647.3,338.4,413.1,574.3,740.5
354.5,352.8,438.1,673,330.9,473.3,514.6,558.3,516.7,546.2,443.1,379.8,525.4,559
370.1,682.9,340.5,308.3,344.4,301.2,374.6,437.9,355.5,694.3,364,402.1,702.9,418.8
414.2,358.8,383.6,627.5,404.4,579.3,610.7,445,384.6,475.5,309.3,541.8,384.3,473.9
531.7,599.3,630.4,246.6,677.2,569.2,413.5,491.7,594.1,536.9,701.5,603.5,632.5,721.1
400.6,646.8,533.8,329.7,676.8,237.7,425.1,263,509.1,287,754.1,657.2,799.4,486.7
397.2,506.3,321.5,512.1,553,568.1,446.7,241.1,459.5,712.7,404.4,753.7,775.8,588.6
393.3,569.5,612.9,420,385.9,550.4,550.9,511.7,364.4,467.3,770,326.6,479.5,565.1
656.3,268.1,487.5,291.7,231.8,403.2,495.8,638,502.6,399.5,382.8,642.9,350.3,724.7
295.4,233.6,231,239.5,637.6,336.1,629.7,511.7,286.7,667.7,674.2,698,401.1,473
642.2,332.7,397.9,492,550.8,244.1,636.4,429.2,359.9,738,704.7,701.1,526.8,593.7
517.9,594.8,614.4,535.8,537.8,316.5,595.5,462.8,345.7,290.6,720,366.4,330.1,677.3
427,328.7,342,347.6,292.4,275.3,428.5,352.2,351.7,623.9,666,501.5,546.5,792.5
414,614.5,478.1,351.3,338.6,253.4,315,454.1,667.7,346.6,475.5,651.5,654.2,704.3
396.8,560.5,412.7,483.9,494.2,721.4,570.7,551.8,325.4,654.3,656.2,308.2,658.9,398.9
600.9,341.2,590,458.8,279.3,448.2,428.6,235.4,493.4,325.6,498.3,320,519.5,395
461.6,485.4,357.5,584.4,672.9,690.7,600.2,600.7,513.1,340.5,333.7,323.5,372.6,759.6
598.8,349.6,539.8,455.3,309.4,588.7,586.3,463.8,518.7,698.5,759.7,318.7,701.4,764.2
292.9,444.3,528.9,453.9,511.2,410.2,673.3,378.3,284.7,616.7,368.5,628.8,427.1,763.6
295.6,320.8,530.6,371.7,445.1,299.7,406.1,457.3,302.8,390.5,609.9,508.9,495.3,450.8
577.7,633.8,324.2,471.3,548.3,395.6,249.3,436,382.4,627.1,478.3,421.5,464,381
640.7,671.8,289,371.5,549.8,733.8,250.3,421.5,763.4,377.9,407.3,361.7,707.8,684.2
664.2,586.6,613.4,573.2,520.5,523.9,681.1,462.9,493.8,671.6,323.2,691.5,776.2,573.4
647.4,400.4,629.3,274.2,625.3,591.4,240.2,447.4,313.8,669,766,425,628.1,743.7
498.5,494.3,637.9,658.4,487.7,716.1,513.8,611.1,440.2,625.5,463.4,549,350.9,631.4
385.4,465,546.7,599.2,307.4,726,680,483.2,726.7,534.5,749.1,555.7,715.2,762.9
404.6,375.6,242.1,543.6,570.4,654.3,515.1,359.2,357.7,389,604.6,628.3,365.6,593.1
384.2,557.6,350.4,438,357.1,399.1,434.8,448.7,357.5,395.5,607.4,351.3,510.9,344
365.6,622.1,554.6,493.2,231.4,248.2,667.1,324.8,631.5,301.4,742.5,688.5,552.4,563.9
398.4,411.7,258.4,421,554.6,542.2,597.6,348.1,566.5,756,476.2,437.9,524.2,667.6
270.9,309.8,543.6,610.9,440.6,414.4,365.7,356.1,645.8,561.8,477.8,506.6,468,655
325.5,447.2,618.6,237.9,411.7,501.9,668.7,302.8,686.4,542.8,506.4,607.4,512.6,409.1
472.3,529.7,566.7,279.5,493.2,495.9,452.6,310.3,718,500.5,661.3,751.7,513.2,663.1
437.4,298.4,345.6,499.8,594.9,269.9,366.1,576,623.8,300,571.5,517.9,386.2,486.9
632.4,412.2,555.6,615.8,368.7,729,409.6,266.6,652.1,360,551.3,611.7,535.6,521.2
271.4,376.6,550.8,434.8,468.6,605.8,359.6,250.1,487.4,324.7,778.3,304,446.9,337.3
318,676.5,450.1,511.9,411.5,500.3,265.6,701.1,334.1,296.3,360.6,433.8,300.7,741.4
550.9,438.2,367.6,538,639.7,283.7,347.9,660.7,381,604.7,681.4,584.9,654.5,341.3
233.9,651.5,577.4,420.2,296.1,443.3,311.3,241.8,578.4,719.4,720.7,489,457.2,356.6
400.4,521,383.2,648,678.4,579.8,278.1,462.4,571,474.9,498.7,541.1,566.8,400.8
264.6,608.2,529.7,555,651.5,725,443.4,484.7,464.3,635.4,590.6,487.7,685.7,314.7
273,402.4,489.2,489.7,622.4,274.2,445.9,277.1,462,381.8,595.2,325,420,454.2
608.4,293.1,525.8,512.9,291.8,426.1,495.1,714.9,633.3,588.3,647.4,444.5,541.7,508.9
420.2,683.7,419.4,234.9,556.1,607.3,396.4,563.8,382.8,348.5,329.4,681.8,523.2,767
249.1,378.4,239.7,471.8,279.5,519.6,452.8,609.2,737.8,750.5,623.9,757.2,715.4,405.8
656.8,681.8,584.3,350,238.3,425.9,440.6,370,500.6,574,449.3,702.4,674.7,367
381.3,532.4,592.9,380.9,530,298.7,374.4,689.8,482,711.5,507.6,624.3,396.2,312.5
515.3,641.2,450,668.1,354.2,341.3,245.6,391.6,744.5,743.6,498.7,460.2,508,597.2
499.4,518.2,392.6,257.3,651.9,332,612.3,710.8,406.1,704.3,644.4,352.1,606.9,340.5
511.1,534.4,449.7,340.5,681.2,390.3,464.3,315,413.2,599.7,375.2,323.7,303.7,545.6
270.5,556.2,649.4,587,535.8,695.7,415.9,464.9,428.1,559.3,791.2,404.1,315,734.3
628.7,418.5,561,612.3,532.9,233.8,515.4,542.2,407.5,323.7,628.9,319.6,551.8,806
326.3,450.9,481,410.6,513.2,729.3,472.8,634.8,283,439.8,700.5,487.9,484,545.8
645.7,611.9,289.4,421.9,393,355.4,414.2,449,374.5,580.8,371.9,445.1,708.5,488.8
562.3,448.7,447.7,276.9,247.1,666.1,614.1,576.9,566.4,748.8,620.4,451.8,439.5,793
556,279.8,303.1,297.2,636.5,443.4,252.9,479.3,575.6,376.8,433,740.1,701.1,781.1
608.8,246,284.4,601.8,328.3,734.5,290.1,352.7,730.4,700.4,410.1,612.5,777.8,692.9
571.2,654.9,421.5,425.9,474.7,262,611.7,617.1,459.7,389.3,582.5,669.3,658.9,492.5
435.7,589.1,313.8,337.4,389.1,410.8,458.7,460.6,630,538.3,693.8,618.7,490.2,435.7
634.9,628.5,354.6,248.6,587.1,574.1,260.7,708.4,283.9,755.9,419.1,632.6,334.1,638.1
413.5,639.5,538.3,479.6,629.2,657.7,617.3,396.3,275.8,670,653,745,668.6,400.9
558,366.8,349.9,587.2,263.3,400,524.3,684.8,514.5,639.4,448.1,635.8,300.4,308.8
655.5,270.1,257.5,431.2,387.4,387.1,442.1,453,689.4,525.1,357.3,587.7,700,316.9
599.3,268.4,471.7,678.7,372,303.1,383.9,308.3,437.8,515.9,773.8,636.3,730.9,455.4
556.9,249.7,650.9,251.1,346.6,322.2,546.8,390.2,652.2,331,467,500.4,302.7,489.2
585.8,664.7,432,509.9,445.6,329.3,568,324.6,752.5,712.6,436.9,770.3,752.7,619.7
596.7,595.4,583.8,451.5,398.7,709.3,385.6,470.6,757.4,636.9,652.3,660.1,468.5,474.7
606.9,338.3,617.7,248.8,450.7,684.9,238.7,589.2,747.1,580.1,645.4,699,597.2,544.2
377.3,498.3,550.4,408.8,573.8,470.2,623.1,457.6,489.4,719.1,524.3,749.5,458.8,523.4
647,238,276.9,290.2,603.1,380.7,329.8,243.9,449.9,533.7,487.4,555.1,811.9,414.8
476.6,448.5,527,374,345.3,717.1,324.5,623.7,723.9,322.6,319.7,606,392.4,468.9
472.7,239.3,262.1,664.5,529.2,643.6,575.6,432,549.5,757.8,761.1,416.6,322.3,310.2
584.2,405.1,491.9,417.5,616.1,676.9,403.6,324.9,624.2,514.5,307.6,582.3,594.6,423
381.1,498.2,545.4,237.3,455.8,290.6,688.5,300,351.4,556.8,478.7,637.4,311.6,557.4
667,507.1,534.7,349.8,675.8,647.2,445.6,628.9,457.7,661.2,540.8,717.2,434.2,407.3
518.9,683,245.6,413.9,423.9,364.3,548.5,517.8,312.5,426.6,505,616.8,582.9,556
536.3,298.5,251.3,650.5,400.1,523.7,535.3,433.8,368.4,752.1,444.4,684.1,556.3,414.3
349.2,355.5,606.3,602.3,536.9,473.7,456.6,664.3,552.5,523.6,419.6,395.6,391.9,604.2
424.7,255.4,288.8,632.2,269,260.1,519.2,675.4,366.3,728.3,439.3,430.4,757.4,711
305.4,262.3,232.8,380.2,596.6,340.7,484.9,234,729.3,612.1,519,636.1,821.1,765.4
531.6,587.4,387.6,457.8,504.9,615,359.6,421.2,376.3,681,518.1,586.1,399.2,662.9
544.2,301,479.8,494.9,561.9,464.8,259,678.9,313.7,624.8,488.5,393.1,701.5,797.5
629.2,387.9,370.1,579.5,234.4,374.6,573.3,666,521,390.5,704.3,713.2,581.9,798
254.6,277.7,328.3,418.5,537.7,710.6,436.1,310.7,319.4,478.4,350.8,650,765.3,773.5
660.8,430.8,368.6,235.4,544.9,614.5,548.3,580.8,753.6,513.7,417.8,688.5,391.6,498.4
245.3,579.3,643.3,339.5,347.4,657.4,656.2,622.1,343.2,293.8,587.7,322.7,570.2,561.3
341.7,502.2,286.9,295.7,658.1,309.9,645.7,368.5,756.6,579.6,312.4,730.6,436.9,807.6
433.6,466,519.9,644,539.9,296.6,514.5,636.8,272.8,538.8,785,492.3,819.9,688
415.1,469.4,499.1,486.4,538.1,564.6,468,649.7,330.9,728.9,606,338,309.9,660.3
398,329.4,511.2,237,266.4,378.8,372.4,272,748.7,322.3,377,576.4,516.6,337.2
365,475.6,617.4,269.8,609,640.5,639,712.4,712.1,647.3,662.6,373.4,761.5,569.9
392.5,246.3,575.7,441.7,390,346.6,465.3,411.2,351.4,718.6,348,388.5,312.8,407.6
386.7,429.7,249.9,311.1,357.6,668.4,579.3,677.4,753,600,427,540.6,667.6,662.3
443.6,333.5,373.6,599.7,341.7,691,454.6,604.4,753.4,329.9,759,576.5,377.5,426
339.1,566.2,510,397.9,378,403.3,388.9,453.2,343,558.6,704.2,567.7,335.5,321.3
333.9,551.4,578.8,237.8,646,266.9,264.5,514.5,392.6,619.4,601,769.9,748.8,703.2
239.9,507.7,464.4,367.8,289.9,375.3,679.6,384.1,542.7,471.3,534.7,577.3,738.3,632.6
255.3,622,409.6,289.5,464.2,521.4,495.3,444.1,484.1,344.2,568.9,521.6,681.6,688.3
307.4,670.4,295,270,501,356,442.2,483.1,462.9,567.8,716.9,374.1,621.2,601.7
556.4,513.3,655,245.5,583.8,417.4,390.1,565.1,551.3,595.9,563.3,630.3,602.2,468.1
462.6,425.2,491.3,230.2,267,573.1,362.5,240,612.9,561,558.7,754,815.9,555.7
574.9,678.8,385.2,595.6,260.5,660.9,460.2,340.6,311.7,445.3,633.9,533.4,579.4,770.7
301.6,392.6,585.5,671.1,455.1,716.9,565.5,638.1,479.1,695.4,682.8,556.5,421.1,355.5
272,445.5,284.2,440.4,419.6,614.2,301.3,304.3,643.7,646,338.9,344.3,307.2,765
274.8,383.2,460.9,551.1,277.9,459.6,564.9,297.4,681.4,308.1,576.7,402.6,335.3,655.1
506.2,377.9,407.4,481.5,329.4,253.8,273.8,517.7,457.1,465,449,532.7,631.5,560.7
442.9,237.1,282.1,329.1,624.7,301,407.3,623.8,574.6,509.6,697.5,599.3,327,556.1
344.1,661,363.7,278.8,647.4,375.8,412.7,530.9,339.2,383.8,749.5,429.9,733.6,749.2
278.8,476.5,309.3,317.8,353.2,237.9,450,546.7,542.1,278.6,741.2,542.6,457.5,545.5
630.8,385.1,259.4,674.2,439.5,646.7,400.2,253.1,342.2,599.8,497.9,525,769.6,434.1
650.3,498,306.4,256.9,544.5,449.9,467,496.7,395.2,343.2,649.6,352.8,319.6,776.6
463.4,578.3,620,632.1,407.4,498.5,233.4,631.7,363.6,456.7,556.1,766.5,731.9,668.1
525,510.3,464.7,347.2,492.1,504,637.6,509.1,410.6,739.1,672.7,546.4,568.6,617.7
277.6,322.8,385.2,515.7,442.3,506.6,642.7,454.3,722.4,721.8,679.7,389.3,320.8,478.4
460.1,341.4,583.2,315.8,591.2,533.6,622.7,538.3,445.3,446.7,787.5,734.6,384.1,303.4
380,373.1,630.9,533,635.3,520.6,479.4,337.9,706.7,549.9,764.5,451.9,806.6,580.4
373.1,478.9,299.8,497.5,444.8,638.7,598.4,706.8,725.5,442.1,752.8,421.6,526.5,382.1
580.2,509.1,439.1,260.7,422.6,405.8,542.9,599.4,375.9,533.9,623.6,492,757.2,434.3
654.4,563.6,422.6,290.2,508.3,273.3,418.9,278.2,341.5,584.2,633.5,311.4,570.5,423
457,246.5,400.3,304.9,241.7,389.3,301.3,563.9,713.4,458.2,370.8,408.4,456.7,495.9
618.8,447.8,443.8,364.2,527.4,720.2,301.2,678.5,737.2,468.1,649.8,511,532,403.8
262,243,560.9,436.1,616,402.9,650.2,327.5,432.8,334.9,432.3,349.8,715.7,741.9
410.2,540.9,320,497.8,476.7,630.6,557.2,691.7,672.7,350.5,763.3,601.5,541.2,372.5
609.7,409.5,405,323.5,253.6,532.2,316.4,560.9,521.7,282.2,404.8,311,350.1,348.9
437.4,660.7,435.7,608.2,388.7,260.9,624.7,377,302.1,323.6,362.8,333.4,555.1,691
453.5,432.3,409.4,279.5,551.9,524.5,363.7,230.1,367.7,471.6,340.7,563.6,451.3,800.3
574.7,429.7,624.8,396.6,429.8,579.8,331.3,361.1,409.3,616.5,589.1,708.5,540,449.5
365.8,672.9,560.3,535.8,436.9,384.5,295.1,259.3,739.6,547.9,388.2,306.2,694.9,646.5
490.2,591.3,445.2,285,242.1,251.2,552.6,554.9,463.2,577.4,509.1,493.3,765.2,378
575.9,671,476.9,658.9,622.3,339.4,529.1,694,676.6,714,651.8,730.6,556.6,442.3
360.2,379.6,515.2,652.5,511,322.7,385.5,358.5,548.7,711.6,420.4,449.6,499.8,548
386.1,468.5,561.3,617.5,650.8,486.8,308.3,299.8,300.8,594.3,565.5,548.8,544.2,765.4
353.1,337.9,569.4,265.4,596.9,445.5,494.2,625.3,756,350.2,788.5,603.2,422,778
554,251.3,495.5,370.8,234.9,481.7,366.4,401.3,716.8,298.5,542,550.2,635.4,425.6
237.4,510.8,284.5,600.8,283.1,233.5,622.4,697.9,511.8,686.4,712.9,320.4,348.8,755.5
658.9,635.1,610.9,336.3,607.7,297.3,554.5,332.9,493.8,542,440.5,682.5,660.8,379.9
581.6,402.4,239.5,654.4,589.7,396.9,659.5,314,463.8,567,553.1,664.9,385.6,709.3
592.6,483.1,534.9,330.9,623.1,394.8,396.7,319.9,512.2,332.2,317.1,451.4,413.2,575.5
397.5,366.2,441.9,342.1,528.3,398.8,390.9,248.4,373.5,473.7,309,579.6,633.6,325.2
539,673.3,521.7,251.8,634.4,259.2,589.9,468.4,399.6,516.5,786.5,422.7,495.2,750.1
655.7,563.5,260.5,308.3,310.6,244.9,250.1,658.6,757.3,275.6,660.2,527.1,471.2,610.2
401.1,626.4,302.7,676.5,424.1,640.5,643.7,392.6,328.9,737.2,351.6,409.6,750.3,658.5
577.4,630.4,643.5,369.8,440.4,560.5,513.4,640.3,621.8,322.6,468.7,663.4,394.7,803.8
377.2,545.7,538.9,262.7,589.9,680.4,645.4,342.2,304.6,460,661.9,759.5,394.4,300.7
529.9,510.6,528.3,277.8,508.5,336.3,667.1,425.9,762.4,728.7,711.2,386,681.7,630.1
269.7,524.8,263.8,647.9,571.7,715.8,556.3,385.2,640,716.2,653.9,420.9,698.3,514.7
617.7,681,295.3,413,255.3,359.7,433.8,316.3,440.6,583.2,470.3,384.4,398.2,659.2
560.4,557.8,422.4,432.3,252,608.9,308.1,542.6,598.4,329.5,767.9,478.9,532.5,314.3
251.3,301.2,344.8,619.1,546.8,707.7,327.1,541,650.3,743.5,523.5,526.9,419.3,736.7
597.4,649.9,232.6,259.9,351.4,665.4,433.1,408,303.7,383,537.6,435,450.8,650.4
589.2,466.5,323.7,356.5,582.5,343.8,496.5,301,610.6,537.6,548.6,612.1,626.3,677.6
554,251.6,622.9,281.9,486,453.5,583.1,514.6,734.2,364.6,422.7,664,511.4,534.1
501.1,621.6,553.5,288.9,454.7,444.9,661.2,326.6,716.6,634.7,590.2,441.5,578.8,443.8
623.4,364.4,350.2,413.3,648.2,400,379.4,305,625.2,482.2,376.6,371.3,592.8,396.3
270.8,296.6,262.4,281.9,339.6,609.7,406.6,704.5,381.1,375.1,749.2,564.6,325,628.3
517.1,443.4,339.6,605.9,451.7,721,390.7,363.3,437.6,416.2,725.7,504.5,747.3,774.2
234.6,265,596.5,272.4,423.2,472.1,338.6,471.2,692.5,478.5,384.5,428.9,385,557.6
484.6,534.9,581.7,283.4,416.8,419.3,616,553.2,513.2,388,781.2,318.3,787.4,446.7
623.1,539.5,594,605.7,564,296.5,516.5,651.6,621.8,672.5,352,727.8,529.2,657.2
240.8,567.9,622,376.9,367.5,674.9,349.6,315.9,415.1,506.9,352.1,354,616.5,768.9
382.6,401.9,283.3,274.4,556.1,378.1,343.8,326.1,297.9,445.6,325.6,322.6,732.8,364.4
341.9,523.6,446.2,574.6,239.9,368,648.9,485.9,468.9,661.4,301.1,639.3,333.8,382.2
540.2,295.4,478.1,375.2,671.7,262.8,248,322.8,288.9,296.6,542.4,507.6,365.7,525.9
547.7,550.2,629.9,591.6,684.4,580.5,447.5,335.4,437.5,716.2,523.5,559.8,415.4,737.5
498.5,398.3,539.6,438.7,350.4,622.5,483.4,586.2,741.9,575.5,355.7,358.7,384.6,599.9
273.5,516.9,366.2,236.5,567.6,269.8,467.3,695.6,630.7,618,368,619.4,301.6,650.2
655.3,381.3,369.5,508.7,496.8,676.4,579.2,561,522.9,274.8,386,363.3,315.8,735.3
284.8,256.3,525.7,460.2,450.7,243.3,571.7,628.5,476.5,492.5,346.4,356.5,712.4,729.4
250.5,661.4,485.6,260,270.5,656.8,358.9,481.2,698.4,507.6,771.5,682.1,477.3,610.7
341.2,400.2,615.9,307.5,399.9,301.6,582.8,708.2,592.5,427.1,409.3,697.3,827.9,529.3
482.7,624.9,291.4,303.1,440.8,576.4,429.9,684,764.1,503,749.4,731.1,786,669.3
