,Corner1,Corner2,Corner3,Corner4,Corner5,Corner6,Corner7,Corner8,Corner9,Corner10,Corner11,Corner12,Corner13,Corner14,slack
path69,3.391,5.362,2.661,4.698,3.958,3.6,3.232,3.209,3.499,6.85,6.458,7.534,3.671,4.237,31.179
path70,4.66,4.416,2.762,6.407,3.833,4.917,3.399,4.956,6.558,5.812,6.808,3.495,3.63,5.265,33.459
path71,4.189,6.022,5.165,3.508,3.544,6.391,2.699,2.496,3.768,4.964,4.998,3.786,5.415,3.373,30.159
path72,6.362,4.481,4.771,4.603,3.666,2.306,3.994,5.456,5.81,6.84,5.104,5.212,3.955,4.395,33.478
path73,2.773,5.461,5.002,3.4,6.717,4.049,5.414,6.352,6.865,6.042,6.052,3.86,4.122,7.354,36.732
path74,3.122,5.067,5.151,2.621,5.038,6.115,3.554,5.068,5.889,3.204,7.182,7.724,5.094,5.645,35.238
path75,4.567,3.526,5.954,4.616,4.727,5.931,6.925,6.425,6.712,2.727,6.198,3.624,3.833,7.063,36.414
path76,3.963,3.087,5.326,6.464,6.068,5.869,5.764,3.979,4.913,3.001,5.209,4.769,5.154,6.16,34.863
path77,6.03,2.513,4.687,3.585,6.242,5.144,3.099,3.441,6.005,2.891,5.276,3.338,7.19,6.392,32.917
path78,6.687,3.744,2.464,4.408,6.509,5.665,5.375,7.042,4.567,7.118,7.234,4.49,4.59,3.594,36.743
path79,4.279,3.223,3.209,4.963,2.469,7.149,6.337,5.535,3.647,6.503,6.596,5.892,5.803,4.238,34.922
path80,2.881,2.792,2.577,2.923,6.185,4.136,3.14,4.04,4.103,5.299,5.18,7.669,6.242,3.607,30.387
path81,2.675,5.896,6.085,3.91,6.559,6.529,4.585,6.293,3.326,2.872,6.628,6.025,4.607,6.371,36.181
path82,6.476,4.046,4.271,4.974,4.353,2.657,5.383,4.679,3.385,6.618,4.354,5.878,7.4,7.48,35.977
path83,6.467,5.125,3.246,5.459,6.594,4.567,6.901,2.406,5.889,6.83,4.225,5.238,8.277,5.59,38.407
path84,6.089,4.046,5.231,3.092,5.56,3.912,2.353,4.108,2.715,6.778,4.144,5.478,8.101,4.018,32.812
path85,2.472,6.005,5.369,4.37,6.384,5.838,5.841,5.591,2.75,5.063,6.101,7.623,7.057,5.684,38.074
path86,4.917,3.28,5.501,2.44,4.257,3.62,5.317,5.762,5.345,7.548,6.495,4.303,3.528,6.274,34.294
path87,2.963,2.663,2.972,6.339,3.697,5.004,3.121,5.685,6.435,4.537,4.207,7.549,7.397,7.13,34.849
path88,4.121,2.461,6.432,3.685,3.132,4.682,4.842,5.354,6.991,6.723,5.273,5.341,7.586,5.695,36.16
path89,5.021,2.728,3.553,5.967,2.649,3.617,3.206,4.529,4.245,3.472,7.425,5.214,7.151,4.317,31.548
path90,5.475,4.712,4.984,3.643,3.298,6.402,6.705,4.917,5.301,6.473,3.384,4.131,5.743,7.405,36.287
path91,3.545,3.528,4.381,6.73,3.309,4.733,5.146,5.583,5.167,5.462,4.431,3.798,5.254,5.59,33.328
path92,3.701,6.829,3.405,3.083,3.444,3.012,3.746,4.379,3.555,6.943,3.64,4.021,7.029,4.188,30.487
path93,4.142,3.588,3.836,6.275,4.044,5.793,6.107,4.45,3.846,4.755,3.093,5.418,3.843,4.739,31.964
path94,5.317,5.993,6.304,2.466,6.772,5.692,4.135,4.917,5.941,5.369,7.015,6.035,6.325,7.211,39.746
path95,4.006,6.468,5.338,3.297,6.768,2.377,4.251,2.63,5.091,2.87,7.541,6.572,7.994,4.867,35.035
path96,3.972,5.063,3.215,5.121,5.53,5.681,4.467,2.411,4.595,7.127,4.044,7.537,7.758,5.886,36.203
path97,3.933,5.695,6.129,4.2,3.859,5.504,5.509,5.117,3.644,4.673,7.7,3.266,4.795,5.651,34.837
path98,6.563,2.681,4.875,2.917,2.318,4.032,4.958,6.38,5.026,3.995,3.828,6.429,3.503,7.247,32.376
path99,2.954,2.336,2.31,2.395,6.376,3.361,6.297,5.117,2.867,6.677,6.742,6.98,4.011,4.73,31.576
path100,6.422,3.327,3.979,4.92,5.508,2.441,6.364,4.292,3.599,7.38,7.047,7.011,5.268,5.937,36.747
path101,5.179,5.948,6.144,5.358,5.378,3.165,5.955,4.628,3.457,2.906,7.2,3.664,3.301,6.773,34.529
path102,4.27,3.287,3.42,3.476,2.924,2.753,4.285,3.522,3.517,6.239,6.66,5.015,5.465,7.925,31.379
path103,4.14,6.145,4.781,3.513,3.386,2.534,3.15,4.541,6.677,3.466,4.755,6.515,6.542,7.043,33.594
path104,3.968,5.605,4.127,4.839,4.942,7.214,5.707,5.518,3.254,6.543,6.562,3.082,6.589,3.989,35.968
path105,6.009,3.412,5.9,4.588,2.793,4.482,4.286,2.354,4.934,3.256,4.983,3.2,5.195,3.95,29.671
path106,4.616,4.854,3.575,5.844,6.729,6.907,6.002,6.007,5.131,3.405,3.337,3.235,3.726,7.596,35.482
path107,5.988,3.496,5.398,4.553,3.094,5.887,5.863,4.638,5.187,6.985,7.597,3.187,7.014,7.642,38.265
path108,2.929,4.443,5.289,4.539,5.112,4.102,6.733,3.783,2.847,6.167,3.685,6.288,4.271,7.636,33.912
path109,2.956,3.208,5.306,3.717,4.451,2.997,4.061,4.573,3.028,3.905,6.099,5.089,4.953,4.508,29.426
path110,5.777,6.338,3.242,4.713,5.483,3.956,2.493,4.36,3.824,6.271,4.783,4.215,4.64,3.81,31.952
path111,6.407,6.718,2.89,3.715,5.498,7.338,2.503,4.215,7.634,3.779,4.073,3.617,7.078,6.842,36.154
path112,6.642,5.866,6.134,5.732,5.205,5.239,6.811,4.629,4.938,6.716,3.232,6.915,7.762,5.734,40.778
path113,6.474,4.004,6.293,2.742,6.253,5.914,2.402,4.474,3.138,6.69,7.66,4.25,6.281,7.437,37.005
path114,4.985,4.943,6.379,6.584,4.877,7.161,5.138,6.111,4.402,6.255,4.634,5.49,3.509,6.314,38.39
path115,3.854,4.65,5.467,5.992,3.074,7.26,6.8,4.832,7.267,5.345,7.491,5.557,7.152,7.629,41.185
path116,4.046,3.756,2.421,5.436,5.704,6.543,5.151,3.592,3.577,3.89,6.046,6.283,3.656,5.931,33.016
path117,3.842,5.576,3.504,4.38,3.571,3.991,4.348,4.487,3.575,3.955,6.074,3.513,5.109,3.44,29.683
path118,3.656,6.221,5.546,4.932,2.314,2.482,6.671,3.248,6.315,3.014,7.425,6.885,5.524,5.639,34.936
path119,3.984,4.117,2.584,4.21,5.546,5.422,5.976,3.481,5.665,7.56,4.762,4.379,5.242,6.676,34.802
path120,2.709,3.098,5.436,6.109,4.406,4.144,3.657,3.561,6.458,5.618,4.778,5.066,4.68,6.55,33.134
path121,3.255,4.472,6.186,2.379,4.117,5.019,6.687,3.028,6.864,5.428,5.064,6.074,5.126,4.091,33.894
path122,4.723,5.297,5.667,2.795,4.932,4.959,4.526,3.103,7.18,5.005,6.613,7.517,5.132,6.631,37.04
path123,4.374,2.984,3.456,4.998,5.949,2.699,3.661,5.76,6.238,3,5.715,5.179,3.862,4.869,31.371
path124,6.324,4.122,5.556,6.158,3.687,7.29,4.096,2.666,6.521,3.6,5.513,6.117,5.356,5.212,36.109
path125,2.714,3.766,5.508,4.348,4.686,6.058,3.596,2.501,4.874,3.247,7.783,3.04,4.469,3.373,29.981
path126,3.18,6.765,4.501,5.119,4.115,5.003,2.656,7.011,3.341,2.963,3.606,4.338,3.007,7.414,31.51
path127,5.509,4.382,3.676,5.38,6.397,2.837,3.479,6.607,3.81,6.047,6.814,5.849,6.545,3.413,35.372
path128,2.339,6.515,5.774,4.202,2.961,4.433,3.113,2.418,5.784,7.194,7.207,4.89,4.572,3.566,32.484
path129,4.004,5.21,3.832,6.48,6.784,5.798,2.781,4.624,5.71,4.749,4.987,5.411,5.668,4.008,35.024
path130,2.646,6.082,5.297,5.55,6.515,7.25,4.434,4.847,4.643,6.354,5.906,4.877,6.857,3.147,37.202
path131,2.73,4.024,4.892,4.897,6.224,2.742,4.459,2.771,4.62,3.818,5.952,3.25,4.2,4.542,29.56
path132,6.084,2.931,5.258,5.129,2.918,4.261,4.951,7.149,6.333,5.883,6.474,4.445,5.417,5.089,36.161
path133,4.202,6.837,4.194,2.349,5.561,6.073,3.964,5.638,3.828,3.485,3.294,6.818,5.232,7.67,34.573
path134,2.491,3.784,2.397,4.718,2.795,5.196,4.528,6.092,7.378,7.505,6.239,7.572,7.154,4.058,35.954
path135,6.568,6.818,5.843,3.5,2.383,4.259,4.406,3.7,5.006,5.74,4.493,7.024,6.747,3.67,35.079
path136,3.813,5.324,5.929,3.809,5.3,2.987,3.744,6.898,4.82,7.115,5.076,6.243,3.962,3.125,34.072
path137,5.153,6.412,4.5,6.681,3.542,3.413,2.456,3.916,7.445,7.436,4.987,4.602,5.08,5.972,35.797
path138,4.994,5.182,3.926,2.573,6.519,3.32,6.123,7.108,4.061,7.043,6.444,3.521,6.069,3.405,35.144
path139,5.111,5.344,4.497,3.405,6.812,3.903,4.643,3.15,4.132,5.997,3.752,3.237,3.037,5.456,31.238
path140,2.705,5.562,6.494,5.87,5.358,6.957,4.159,4.649,4.281,5.593,7.912,4.041,3.15,7.343,37.036
path141,6.287,4.185,5.61,6.123,5.329,2.338,5.154,5.422,4.075,3.237,6.289,3.196,5.518,8.06,35.412
path142,3.263,4.509,4.81,4.106,5.132,7.293,4.728,6.348,2.83,4.398,7.005,4.879,4.84,5.458,34.799
path143,6.457,6.119,2.894,4.219,3.93,3.554,4.142,4.49,3.745,5.808,3.719,4.451,7.085,4.888,32.751
path144,5.623,4.487,4.477,2.769,2.471,6.661,6.141,5.769,5.664,7.488,6.204,4.518,4.395,7.93,37.299
path145,5.56,2.798,3.031,2.972,6.365,4.434,2.529,4.793,5.756,3.768,4.33,7.401,7.011,7.811,34.279
path146,6.088,2.46,2.844,6.018,3.283,7.345,2.901,3.527,7.304,7.004,4.101,6.125,7.778,6.929,36.854
path147,5.712,6.549,4.215,4.259,4.747,2.62,6.117,6.171,4.597,3.893,5.825,6.693,6.589,4.925,36.455
path148,4.357,5.891,3.138,3.374,3.891,4.108,4.587,4.606,6.3,5.383,6.938,6.187,4.902,4.357,34.01
path149,6.349,6.285,3.546,2.486,5.871,5.741,2.607,7.084,2.839,7.559,4.191,6.326,3.341,6.381,35.303
path150,4.135,6.395,5.383,4.796,6.292,6.577,6.173,3.963,2.758,6.7,6.53,7.45,6.686,4.009,38.923
path151,5.58,3.668,3.499,5.872,2.633,4,5.243,6.848,5.145,6.394,4.481,6.358,3.004,3.088,32.907
path152,6.555,2.701,2.575,4.312,3.874,3.871,4.421,4.53,6.894,5.251,3.573,5.877,7,3.169,32.302
path153,5.993,2.684,4.717,6.787,3.72,3.031,3.839,3.083,4.378,5.159,7.738,6.363,7.309,4.554,34.678
path154,5.569,2.497,6.509,2.511,3.466,3.222,5.468,3.902,6.522,3.31,4.67,5.004,3.027,4.892,30.284
path155,5.858,6.647,4.32,5.099,4.456,3.293,5.68,3.246,7.525,7.126,4.369,7.703,7.527,6.197,39.524
path156,5.967,5.954,5.838,4.515,3.987,7.093,3.856,4.706,7.574,6.369,6.523,6.601,4.685,4.747,39.207
path157,6.069,3.383,6.177,2.488,4.507,6.849,2.387,5.892,7.471,5.801,6.454,6.99,5.972,5.442,37.942
path158,3.773,4.983,5.504,4.088,5.738,4.702,6.231,4.576,4.894,7.191,5.243,7.495,4.588,5.234,37.12
path159,6.47,2.38,2.769,2.902,6.031,3.807,3.298,2.439,4.499,5.337,4.874,5.551,8.119,4.148,31.312
path160,4.766,4.485,5.27,3.74,3.453,7.171,3.245,6.237,7.239,3.226,3.197,6.06,3.924,4.689,33.351
path161,4.727,2.393,2.621,6.645,5.292,6.436,5.756,4.32,5.495,7.578,7.611,4.166,3.223,3.102,34.683
path162,5.842,4.051,4.919,4.175,6.161,6.769,4.036,3.249,6.242,5.145,3.076,5.823,5.946,4.23,34.832
path163,3.811,4.982,5.454,2.373,4.558,2.906,6.885,3,3.514,5.568,4.787,6.374,3.116,5.574,31.452
path164,6.67,5.071,5.347,3.498,6.758,6.472,4.456,6.289,4.577,6.612,5.408,7.172,4.342,4.073,38.372
path165,5.189,6.83,2.456,4.139,4.239,3.643,5.485,5.178,3.125,4.266,5.05,6.168,5.829,5.56,33.579
path166,5.363,2.985,2.513,6.505,4.001,5.237,5.353,4.338,3.684,7.521,4.444,6.841,5.563,4.143,34.246
path167,3.492,3.555,6.063,6.023,5.369,4.737,4.566,6.643,5.525,5.236,4.196,3.956,3.919,6.042,34.662
path168,4.247,2.554,2.888,6.322,2.69,2.601,5.192,6.754,3.663,7.283,4.393,4.304,7.574,7.11,33.787
path169,3.054,2.623,2.328,3.802,5.966,3.407,4.849,2.34,7.293,6.121,5.19,6.361,8.211,7.654,34.599
path170,5.316,5.874,3.876,4.578,5.049,6.15,3.596,4.212,3.763,6.81,5.181,5.861,3.992,6.629,35.443
path171,5.442,3.01,4.798,4.949,5.619,4.648,2.59,6.789,3.137,6.248,4.885,3.931,7.015,7.975,35.518
path172,6.292,3.879,3.701,5.795,2.344,3.746,5.733,6.66,5.21,3.905,7.043,7.132,5.819,7.98,37.619
path173,2.546,2.777,3.283,4.185,5.377,7.106,4.361,3.107,3.194,4.784,3.508,6.5,7.653,7.735,33.058
path174,6.608,4.308,3.686,2.354,5.449,6.145,5.483,5.808,7.536,5.137,4.178,6.885,3.916,4.984,36.238
path175,2.453,5.793,6.433,3.395,3.474,6.574,6.562,6.221,3.432,2.938,5.877,3.227,5.702,5.613,33.847
path176,3.417,5.022,2.869,2.957,6.581,3.099,6.457,3.685,7.566,5.796,3.124,7.306,4.369,8.076,35.162
path177,4.336,4.66,5.199,6.44,5.399,2.966,5.145,6.368,2.728,5.388,7.85,4.923,8.199,6.88,38.24
path178,4.151,4.694,4.991,4.864,5.381,5.646,4.68,6.497,3.309,7.289,6.06,3.38,3.099,6.603,35.322
path179,3.98,3.294,5.112,2.37,2.664,3.788,3.724,2.72,7.487,3.223,3.77,5.764,5.166,3.372,28.217
path180,3.65,4.756,6.174,2.698,6.09,6.405,6.39,7.124,7.121,6.473,6.626,3.734,7.615,5.699,40.278
path181,3.925,2.463,5.757,4.417,3.9,3.466,4.653,4.112,3.514,7.186,3.48,3.885,3.128,4.076,28.981
path182,3.867,4.297,2.499,3.111,3.576,6.684,5.793,6.774,7.53,6,4.27,5.406,6.676,6.623,36.554
path183,4.436,3.335,3.736,5.997,3.417,6.91,4.546,6.044,7.534,3.299,7.59,5.765,3.775,4.26,35.322
path184,3.391,5.662,5.1,3.979,3.78,4.033,3.889,4.532,3.43,5.586,7.042,5.677,3.355,3.213,31.335
path185,3.339,5.514,5.788,2.378,6.46,2.669,2.645,5.145,3.926,6.194,6.01,7.699,7.488,7.032,36.143
path186,2.399,5.077,4.644,3.678,2.899,3.753,6.796,3.841,5.427,4.713,5.347,5.773,7.383,6.326,34.027
path187,2.553,6.22,4.096,2.895,4.642,5.214,4.953,4.441,4.841,3.442,5.689,5.216,6.816,6.883,33.95
path188,3.074,6.704,2.95,2.7,5.01,3.56,4.422,4.831,4.629,5.678,7.169,3.741,6.212,6.017,33.349
path189,5.564,5.133,6.55,2.455,5.838,4.174,3.901,5.651,5.513,5.959,5.633,6.303,6.022,4.681,36.689
path190,4.626,4.252,4.913,2.302,2.67,5.731,3.625,2.4,6.129,5.61,5.587,7.54,8.159,5.557,34.55
path191,5.749,6.788,3.852,5.956,2.605,6.609,4.602,3.406,3.117,4.453,6.339,5.334,5.794,7.707,36.156
path192,3.016,3.926,5.855,6.711,4.551,7.169,5.655,6.381,4.791,6.954,6.828,5.565,4.211,3.555,37.584
path193,2.72,4.455,2.842,4.404,4.196,6.142,3.013,3.043,6.437,6.46,3.389,3.443,3.072,7.65,30.633
path194,2.748,3.832,4.609,5.511,2.779,4.596,5.649,2.974,6.814,3.081,5.767,4.026,3.353,6.551,31.144
path195,5.062,3.779,4.074,4.815,3.294,2.538,2.738,5.177,4.571,4.65,4.49,5.327,6.315,5.607,31.219
path196,4.429,2.371,2.821,3.291,6.247,3.01,4.073,6.238,5.746,5.096,6.975,5.993,3.27,5.561,32.561
path197,3.441,6.61,3.637,2.788,6.474,3.758,4.127,5.309,3.392,3.838,7.495,4.299,7.336,7.492,34.998
path198,2.788,4.765,3.093,3.178,3.532,2.379,4.5,5.467,5.421,2.786,7.412,5.426,4.575,5.455,30.389
path199,6.308,3.851,2.594,6.742,4.395,6.467,4.002,2.531,3.422,5.998,4.979,5.25,7.696,4.341,34.288
path200,6.503,4.98,3.064,2.569,5.445,4.499,4.67,4.967,3.952,3.432,6.496,3.528,3.196,7.766,32.533
path201,4.634,5.783,6.2,6.321,4.074,4.985,2.334,6.317,3.636,4.567,5.561,7.665,7.319,6.681,38.038
path202,5.25,5.103,4.647,3.472,4.921,5.04,6.376,5.091,4.106,7.391,6.727,5.464,5.686,6.177,37.726
path203,2.776,3.228,3.852,5.157,4.423,5.066,6.427,4.543,7.224,7.218,6.797,3.893,3.208,4.784,34.298
path204,4.601,3.414,5.832,3.158,5.912,5.336,6.227,5.383,4.453,4.467,7.875,7.346,3.841,3.034,35.439
path205,3.8,3.731,6.309,5.33,6.353,5.206,4.794,3.379,7.067,5.499,7.645,4.519,8.066,5.804,38.752
path206,3.731,4.789,2.998,4.975,4.448,6.387,5.984,7.068,7.255,4.421,7.528,4.216,5.265,3.821,36.442
path207,5.802,5.091,4.391,2.607,4.226,4.058,5.429,5.994,3.759,5.339,6.236,4.92,7.572,4.343,34.883
path208,6.544,5.636,4.226,2.902,5.083,2.733,4.189,2.782,3.415,5.842,6.335,3.114,5.705,4.23,31.368
path209,4.57,2.465,4.003,3.049,2.417,3.893,3.013,5.639,7.134,4.582,3.708,4.084,4.567,4.959,29.042
path210,6.188,4.478,4.438,3.642,5.274,7.202,3.012,6.785,7.372,4.681,6.498,5.11,5.32,4.038,37.018
path211,2.62,2.43,5.609,4.361,6.16,4.029,6.502,3.275,4.328,3.349,4.323,3.498,7.157,7.419,32.53
path212,4.102,5.409,3.2,4.978,4.767,6.306,5.572,6.917,6.727,3.505,7.633,6.015,5.412,3.725,37.134
path213,6.097,4.095,4.05,3.235,2.536,5.322,3.164,5.609,5.217,2.822,4.048,3.11,3.501,3.489,28.147
path214,4.374,6.607,4.357,6.082,3.887,2.609,6.247,3.77,3.021,3.236,3.628,3.334,5.551,6.91,31.806
path215,4.535,4.323,4.094,2.795,5.519,5.245,3.637,2.301,3.677,4.716,3.407,5.636,4.513,8.003,31.2
path216,5.747,4.297,6.248,3.966,4.298,5.798,3.313,3.611,4.093,6.165,5.891,7.085,5.4,4.495,35.204
path217,3.658,6.729,5.603,5.358,4.369,3.845,2.951,2.593,7.396,5.479,3.882,3.062,6.949,6.465,34.169
path218,4.902,5.913,4.452,2.85,2.421,2.512,5.526,5.549,4.632,5.774,5.091,4.933,7.652,3.78,32.993
path219,5.759,6.71,4.769,6.589,6.223,3.394,5.291,6.94,6.766,7.14,6.518,7.306,5.566,4.423,41.697
path220,3.602,3.796,5.152,6.525,5.11,3.227,3.855,3.585,5.487,7.116,4.204,4.496,4.998,5.48,33.316
