0,,1,,,2,,,3,,,4
42,0.01,1217,,0.01,1215,,0.64,1191,,1,980
43,1,1040,,1,1099,,1,1147,,0.58,1210
44,0.01,1216,,0.01,1222,,0.64,1193,,0.22,1211
45,1,1089,,1,1159,,0.31,1197,,0.98,1151
46,1,1130,,1,1129,,1,1147,,1,1115
47,1,1124,,1,1129,,1,1068,,1,1120
48,1,1128,,1,1116,,0.02,1211,,1,988
49,0,1223,,1,1074,,1,1170,,0.99,1146
50,1,1171,,0.98,1180,,0.06,1230,,1,1000
51,1,1124,,1,1158,,0.16,1216,,1,1115
52,0,1245,,0.03,1215,,0.31,1192,,1,998
53,1,1119,,1,1178,,0.17,1216,,1,1181
54,0.01,1216,,0.48,1203,,0.26,1210,,1,1085
55,0,1228,,1,1145,,0.21,1206,,1,1031
56,1,1164,,1,1129,,0.43,1196,,1,950
57,1,1048,,1,1096,,0.03,1230,,1,1034
58,0,1218,,1,1170,,0.2,1201,,1,1076
59,0,1248,,1,1145,,0.01,1222,,0.7,1206
60,1,1047,,0.02,1216,,0.01,1219,,1,1113
61,1,1078,,1,1175,,1,1107,,1,966
62,0,1228,,1,1046,,0.21,1213,,1,1027
63,1,1004,,0.01,1219,,0.21,1201,,1,1035
64,1,1141,,1,1091,,0.09,1224,,1,992
65,0.13,1204,,1,1060,,0.02,1211,,0.98,1151
66,0.01,1217,,0.1,1210,,1,1057,,1,1076
67,1,1164,,0,1230,,1,1074,,1,1085
68,0,1220,,1,1163,,0.48,1190,,0.99,1151
69,0,1255,,1,1099,,0.26,1210,,0.22,1211
70,0,1261,,1,1129,,1,1063,,0.09,1222
71,0,1223,,0.2,1209,,1,1022,,1,1076
72,0.01,1224,,1,1064,,1,1106,,1,1111
73,1,1150,,0,1227,,1,1078,,0.18,1218
74,0,1221,,0.01,1222,,0.48,1190,,1,1145
75,1,1158,,0,1246,,1,1195,,1,1082
76,1,1000,,1,1050,,1,1146,,1,1104
77,1,1171,,0,1227,,1,1120,,1,1131
78,1,1150,,1,1158,,1,1185,,1,979
79,1,1150,,0.01,1219,,1,1120,,1,1076
80,0,1222,,0.01,1219,,1,1066,,0.4,1211
81,1,1105,,1,1091,,1,1038,,1,1047
82,0.01,1214,,1,1129,,0.18,1196,,1,1173
83,0,1216,,0.02,1213,,0.87,1194,,0.01,1228
84,0.01,1227,,1,1127,,1,1029,,1,1118
85,1,1159,,1,1145,,0.01,1221,,1,1103
86,0.01,1212,,1,1175,,1,1107,,1,1131
87,1,1169,,1,1040,,0.48,1190,,0.99,1162
88,0,1222,,1,1158,,0.23,1212,,0.01,1228
89,0,1218,,1,1133,,0.06,1230,,1,1118
90,0,1222,,0.01,1219,,1,1146,,0.99,1176
91,1,1163,,0,1230,,1,1132,,1,992
92,0.01,1212,,1,1158,,0.13,1219,,0.99,1146
93,0,1245,,0.33,1205,,0.02,1239,,0.98,1151
94,0.01,1216,,0.38,1206,,0.86,1180,,0.88,1147
95,1,1159,,0,1251,,0.33,1192,,1,1078
96,1,1076,,1,1147,,0.2,1202,,1,969
97,0,1261,,0.01,1215,,1,1147,,1,1078
98,0,1217,,0,1256,,1,1076,,1,999
99,1,1149,,0,1254,,1,1146,,1,1035
100,0,1248,,1,1106,,0.09,1224,,1,1110
101,0,1256,,1,1118,,0.21,1213,,1,1174
102,0,1248,,0,1246,,1,1175,,1,1118
103,1,1164,,1,1156,,1,1185,,1,1076
104,1,1128,,0,1246,,0.23,1212,,1,1058
105,0,1220,,1,1063,,0.01,1218,,1,1118
106,1,1014,,1,1129,,1,1141,,1,1115
107,0.57,1193,,0.38,1206,,0.43,1202,,1,1045
108,1,1171,,1,1164,,1,1064,,1,1116
109,0.01,1219,,0.33,1202,,0.09,1224,,1,1180
110,0.01,1217,,1,1175,,1,1076,,1,1045
111,0.01,1223,,0.1,1210,,0.01,1216,,1,966
112,0.01,1216,,0.13,1210,,0.14,1219,,1,937
113,0,1244,,1,1158,,0.99,1160,,1,1111
114,1,1154,,1,1129,,1,1041,,1,1076
115,0,1228,,1,1108,,1,1057,,1,957
116,0.02,1224,,1,1103,,1,1104,,1,1082
117,0.18,1200,,0.01,1219,,1,1089,,1,1139
118,1,1150,,0.03,1214,,0.01,1223,,1,972
119,0,1252,,1,1154,,1,1025,,1,1009
120,1,1156,,1,1156,,0.35,1206,,1,1110
121,0.01,1217,,1,1153,,0.02,1231,,1,1111
122,0,1261,,0.33,1202,,1,1136,,1,971
123,1,1184,,0.01,1222,,0.21,1213,,1,1173
124,1,1155,,1,1108,,1,997,,1,1131
125,1,1016,,1,1137,,1,1000,,0.09,1222
126,0.01,1223,,0,1255,,1,1147,,1,1035
127,1,1130,,1,1165,,0.02,1230,,1,998
128,0,1213,,0.81,1198,,0.03,1229,,1,1120
129,1,1037,,0.81,1198,,0.01,1221,,0.58,1211
130,0,1226,,0,1227,,1,1146,,0.99,1146
131,1,1128,,0,1257,,0.92,1190,,1,1173
132,1,1011,,0.05,1210,,1,1062,,1,966
133,1,1164,,0.28,1207,,1,1066,,1,944
134,0.03,1202,,1,1096,,0.23,1212,,1,971
135,1,1032,,1,1025,,1,1025,,0.44,1205
136,0,1220,,1,1145,,1,1141,,1,1098
137,0,1222,,1,1137,,0.18,1203,,0.01,1228
138,1,1150,,0,1246,,0.17,1215,,1,999
139,0,1244,,0.01,1220,,1,1190,,1,1119
140,1,1018,,1,1145,,0.14,1219,,1,1113
141,0,1255,,1,1057,,1,1033,,1,1111
142,1,1078,,0,1222,,0.55,1198,,0.58,1214
143,0,1248,,1,1178,,1,1170,,0.96,1145
144,0.01,1217,,1,1145,,1,1124,,1,1041
145,1,1150,,0.13,1204,,0.18,1198,,1,1082
146,1,1128,,0.77,1202,,0.26,1210,,0.96,1158
147,1,1050,,0.02,1210,,0.03,1227,,1,1181
148,0,1213,,1,1129,,0.31,1197,,1,1118
149,0.99,1181,,0,1254,,1,1159,,0.44,1205
150,0,1228,,0.38,1206,,0.15,1218,,1,1101
151,1,1130,,0.38,1209,,1,1113,,0.99,1146
152,0.01,1228,,1,1154,,1,1158,,1,1082
153,1,1124,,1,1145,,1,1140,,0.98,1151
154,0,1252,,0.48,1203,,0.02,1231,,0.99,1164
155,0,1221,,1,1171,,1,1119,,1,1079
156,1,1029,,1,1108,,1,1103,,1,1160
157,1,1150,,0,1257,,0.59,1193,,1,1082
158,0,1221,,1,1163,,0.23,1212,,1,1160
159,0,1228,,1,1108,,1,1146,,1,1040
160,0,1222,,0,1227,,0.21,1201,,0.15,1221
161,1,1128,,0,1266,,1,1066,,1,1076
162,1,1000,,0.01,1222,,1,1100,,0.44,1205
163,0,1222,,0,1219,,1,1093,,1,1106
164,1,1150,,0,1270,,1,1140,,0.99,1175
165,1,1124,,0.03,1215,,0.16,1217,,1,1076
166,0,1246,,0.99,1178,,0.21,1202,,1,1048
167,0,1252,,0.02,1216,,1,1040,,1,1016
168,1,1103,,1,1091,,1,1175,,0.53,1210
169,1,1164,,0.24,1206,,1,1140,,0.98,1150
170,1,997,,1,1145,,1,1050,,0.91,1147
171,1,1163,,1,1159,,0.97,1162,,1,998
172,1,1064,,1,1108,,1,1142,,1,1082
173,0.01,1216,,0.06,1213,,0.16,1217,,1,1170
174,1,1045,,0.01,1217,,0.48,1190,,0.98,1151
175,0.01,1223,,1,1053,,1,1043,,0.7,1208
176,1,1165,,1,1091,,0.09,1224,,0.99,1203
177,0.01,1207,,1,1116,,0.48,1190,,1,998
178,1,1118,,0,1222,,1,1060,,1,1125
179,1,1054,,0,1222,,0.23,1212,,0.98,1150
180,0,1256,,0.33,1202,,1,1146,,1,1145
181,1,1032,,1,1174,,0.02,1239,,0.99,1146
182,1,1045,,0.02,1213,,1,1120,,1,1118
183,0.01,1216,,0.2,1209,,1,1067,,1,1176
184,0,1254,,1,1147,,1,1084,,0.99,1146
185,1,1184,,1,1161,,0.23,1212,,1,1078
186,0,1222,,1,1147,,1,1055,,0.99,1163
187,1,1128,,1,1158,,0.01,1226,,1,1112
188,1,1124,,0.03,1215,,1,1077,,0.18,1218
189,1,1150,,0.03,1214,,0.02,1237,,1,1111
190,0.46,1181,,1,1042,,0.21,1213,,1,970
191,0,1254,,0,1232,,1,1044,,1,1132
192,0.01,1214,,0,1257,,1,1175,,1,950
193,1,1067,,1,1137,,1,1141,,1,1109
194,0,1251,,1,1129,,1,1092,,0.98,1151
195,1,1121,,0,1227,,0.15,1218,,0.99,1150
196,1,1150,,0.48,1203,,1,1157,,1,1099
197,0.99,1186,,0.02,1216,,0.29,1196,,1,1094
198,0,1227,,1,1108,,0.23,1212,,1,1053
199,1,1150,,1,1133,,1,1195,,0.98,1202
200,0.01,1214,,1,1145,,0.23,1212,,1,1078
201,1,1128,,0,1263,,1,1050,,0.96,1158
202,0.01,1217,,1,1129,,1,1146,,0.96,1158
203,1,1150,,1,1108,,0.1,1222,,0.31,1210
204,1,1130,,1,1104,,0.2,1202,,0.22,1211
205,0.99,1186,,0,1256,,0.86,1180,,1,1104
206,0,1246,,0.2,1209,,1,1146,,1,1149
207,1,1044,,1,1129,,0.17,1215,,1,1120
208,1,1130,,1,1129,,1,1162,,1,1027
209,1,1128,,0,1222,,1,1153,,1,980
210,1,1128,,0,1222,,1,1095,,1,1115
211,1,1024,,0,1227,,0.43,1196,,1,1016
212,0,1255,,1,1160,,1,1147,,1,1082
213,0,1246,,1,1178,,0.15,1218,,1,1033
214,0,1227,,1,1175,,0.43,1202,,0.01,1228
215,1,1010,,0,1219,,1,1140,,1,1085
216,1,1130,,1,1151,,0.03,1227,,1,1078
217,0,1247,,1,1032,,0.26,1210,,1,1106
218,1,1131,,0,1222,,0.18,1217,,1,1040
219,1,1128,,0.43,1203,,1,1113,,1,988
220,1,1130,,0,1222,,1,1175,,1,1174
221,1,1184,,1,996,,1,1007,,0.99,1165
222,1,1103,,1,1153,,1,1141,,0.99,1149
223,1,1097,,1,1109,,0.33,1192,,1,1118
224,1,1014,,1,1158,,0.99,1161,,1,1082
225,0,1241,,1,1129,,1,1146,,1,1026
226,1,1164,,1,1129,,1,1144,,1,986
227,1,1162,,1,1098,,1,1050,,1,1179
228,1,1025,,0.01,1205,,0.84,1182,,1,1112
229,0.01,1228,,1,1034,,1,1092,,1,1115
230,0,1256,,1,1175,,1,1047,,1,940
231,1,1128,,0,1227,,0.01,1221,,0.98,1150
232,1,1018,,1,1158,,0.91,1180,,1,1170
233,1,1120,,1,1129,,1,1013,,1,1115
234,0.01,1203,,1,1173,,1,1055,,1,967
235,1,1128,,1,1104,,0.09,1224,,1,1090
236,1,1120,,0.06,1213,,0.18,1215,,1,991
237,1,1067,,1,1096,,0.91,1174,,0.96,1145
238,1,1130,,1,1175,,0.01,1218,,0.99,1146
239,0.01,1214,,1,1175,,1,1098,,1,1115
240,1,1184,,1,1164,,0.18,1207,,1,1104
241,1,1150,,0,1250,,1,1096,,1,1078
242,1,1051,,0,1264,,1,1060,,1,1078
243,0.01,1212,,0.01,1222,,1,1168,,0.15,1214
244,0,1248,,1,1129,,0.29,1196,,1,1085
245,1,1046,,0.02,1216,,0.15,1217,,0.99,1162
246,0,1256,,1,998,,0.01,1215,,1,938
247,0,1223,,1,1129,,0.17,1196,,0.99,1161
248,1,1155,,1,1092,,1,1144,,0.7,1208
249,0,1248,,0.03,1215,,1,1164,,1,1174
250,1,1174,,0.38,1209,,1,1170,,1,942
251,0,1228,,0.99,1178,,1,1147,,1,1084
252,0,1248,,0.48,1203,,1,1148,,1,1115
253,1,1109,,0.81,1198,,1,1141,,1,1076
254,0,1256,,0,1270,,0.02,1211,,1,945
255,0.03,1197,,0.06,1213,,0.17,1216,,1,1076
256,0.18,1200,,0.54,1200,,0.17,1216,,1,1082
257,1,1124,,0.02,1213,,1,1093,,1,1113
258,1,1127,,0,1259,,1,1113,,0.96,1145
259,1,1128,,1,1175,,0.41,1192,,1,1179
260,1,1124,,1,1116,,0.06,1230,,0.53,1219
261,0,1223,,1,1042,,0.87,1194,,1,1176
262,1,1174,,1,1158,,0.48,1195,,1,1164
263,1,1150,,1,1129,,0.18,1198,,1,1078
264,1,991,,1,1129,,0.03,1233,,0.88,1147
265,1,1128,,0.81,1198,,1,1110,,1,1111
266,0,1209,,1,1116,,1,1191,,0.22,1211
267,1,1043,,1,1094,,1,1140,,0.53,1219
268,1,1045,,1,1154,,1,1051,,1,1076
269,1,1124,,0.28,1207,,1,1106,,1,1084
270,1,1111,,1,1145,,1,1174,,0.99,1162
271,1,1124,,0.48,1200,,1,1094,,1,1160
272,0,1218,,0.01,1222,,0.99,1166,,1,1112
273,1,1043,,1,1085,,1,1073,,0.58,1210
274,0,1248,,1,1160,,0.17,1216,,1,1094
275,0,1252,,0.28,1205,,0.2,1202,,1,1180
276,1,1042,,1,1145,,0.39,1194,,0.15,1221
277,1,1107,,1,1158,,1,1195,,1,937
278,1,1172,,1,1127,,1,1146,,0.99,1146
279,1,1150,,1,1032,,0.92,1190,,1,1084
280,1,1051,,1,1127,,1,1089,,0.99,1146
281,0,1222,,0.06,1213,,1,1107,,0.49,1210
282,0,1222,,1,1176,,0.39,1193,,0.99,1165
283,0,1244,,1,1127,,1,1170,,1,1034
284,1,1130,,1,1048,,1,1063,,1,1111
285,1,1128,,1,1055,,1,1043,,1,1082
286,0,1241,,0.01,1219,,0.23,1212,,1,1032
287,1,1150,,0.38,1206,,1,1116,,1,1076
288,0,1222,,0,1256,,1,1146,,1,1173
289,0.01,1214,,1,1149,,0.43,1202,,0.7,1206
290,0.01,1216,,1,1106,,1,1146,,1,981
291,1,1042,,1,1103,,1,1007,,1,1174
292,1,1172,,1,1099,,0.15,1218,,1,1094
293,0,1220,,1,1158,,0.64,1193,,1,1035
294,1,1101,,0,1262,,0.39,1193,,1,1167
295,1,1102,,1,1077,,1,1124,,1,1045
296,1,1014,,0,1222,,0.48,1190,,1,1118
297,1,1128,,1,1034,,0.17,1216,,0.98,1151
298,1,1164,,1,1007,,0.15,1218,,1,998
299,0,1253,,1,1151,,0.26,1208,,1,1082
300,0.01,1223,,0,1246,,0.02,1231,,1,1021
301,1,1011,,1,1014,,0.03,1227,,0.53,1219
302,1,1131,,1,1138,,0.09,1224,,0.98,1154
303,1,1124,,1,1175,,1,1059,,0.99,1146
304,0,1246,,0,1256,,1,1050,,0.99,1165
305,1,1150,,1,1066,,0.48,1190,,1,1181
306,0,1218,,1,1129,,0.03,1227,,1,1035
307,1,1064,,0,1251,,1,1190,,1,1139
308,0,1244,,0,1251,,1,1175,,1,977
309,1,1112,,1,1156,,1,1138,,1,1082
310,1,1150,,0,1255,,0.01,1215,,1,1182
311,1,1038,,1,1020,,1,1019,,1,1035
312,1,1020,,1,1147,,0.02,1232,,1,1194
313,1,1124,,0.01,1217,,0.18,1197,,1,1118
314,1,1155,,0.03,1215,,0.41,1192,,0.98,1150
315,0.01,1219,,0.1,1209,,1,1146,,0.98,1151
316,0.01,1215,,0.38,1209,,1,1068,,1,1100
317,0.01,1217,,1,1145,,1,1140,,1,946
318,1,1128,,1,1099,,1,1047,,1,1082
319,0,1222,,1,1138,,1,1052,,1,996
320,0.01,1216,,1,1165,,0.99,1166,,1,972
321,1,1103,,0.13,1210,,1,1095,,1,1116
322,0.01,1209,,0.16,1204,,0.18,1196,,0.98,1151
323,1,1076,,0,1222,,1,1170,,1,1016
324,1,1150,,1,1170,,0.26,1210,,0.96,1158
325,1,1164,,0,1222,,0.06,1228,,1,1182
326,1,1156,,0.02,1210,,0.02,1231,,0.98,1151
327,0,1252,,0,1257,,0.01,1216,,1,1159
328,1,1124,,0,1258,,0.01,1219,,1,956
329,0.01,1216,,1,1084,,1,1146,,1,1076
330,0.02,1224,,1,1145,,0.29,1207,,1,1085
331,1,1118,,0.38,1209,,1,1107,,1,1009
332,1,1087,,1,1129,,0.01,1215,,0.44,1205
333,0.01,1226,,0.03,1214,,1,1036,,1,1180
334,0.01,1222,,1,1158,,1,1122,,0.18,1220
335,0,1222,,1,1170,,1,1185,,1,1079
336,0,1218,,0,1251,,1,1046,,1,1085
337,0,1218,,1,1060,,0.09,1224,,1,1040
338,1,1067,,1,1053,,1,1059,,0.99,1149
339,0,1244,,0,1254,,1,1165,,0.98,1154
340,1,1164,,0.06,1213,,0.39,1202,,1,1174
341,1,1097,,0,1250,,1,1141,,1,1118
342,1,1146,,0.01,1218,,1,1146,,0.53,1210
343,1,1114,,0,1227,,1,1146,,0.99,1146
344,0,1241,,1,1099,,1,1141,,1,962
345,1,1164,,0.06,1213,,0.2,1201,,1,942
346,1,1164,,1,1044,,1,1062,,1,1021
347,0,1252,,0.01,1218,,1,1119,,1,994
348,0.01,1222,,1,1129,,0.31,1192,,1,1078
349,1,1120,,1,1095,,0.2,1202,,1,1058
350,1,1150,,1,1127,,0.23,1212,,1,1170
351,1,1049,,1,1032,,1,1077,,0.58,1214
352,0,1244,,1,1145,,1,1113,,0.01,1228
353,1,1130,,0,1222,,1,1105,,0.7,1207
354,0.01,1216,,0,1220,,1,1035,,1,1115
355,0.01,1226,,0.48,1203,,1,1098,,0.99,1146
356,1,1150,,1,1110,,0.03,1227,,0.58,1210
357,1,1164,,0,1222,,0.2,1202,,1,971
358,0,1223,,1,1076,,1,1140,,0.01,1228
359,0.99,1186,,1,1058,,1,1141,,1,960
360,0.01,1215,,0.98,1180,,1,1166,,0.98,1150
361,1,1043,,1,1127,,1,1146,,1,1113
362,0,1248,,1,1168,,0.21,1213,,0.99,1150
363,1,1071,,1,1127,,1,1081,,1,1173
364,0,1209,,0,1251,,0.16,1217,,1,1132
365,1,1150,,0.1,1210,,0.71,1189,,1,1082
366,1,1169,,1,1106,,0.16,1217,,1,1027
367,1,1168,,0.02,1213,,1,1011,,0.99,1164
368,0,1255,,0,1256,,1,1036,,1,1120
369,0,1241,,0,1251,,0.99,1166,,1,985
370,1,1164,,0.28,1207,,0.01,1218,,1,1018
371,0.01,1216,,0.01,1217,,1,992,,1,1110
372,1,1150,,0,1250,,1,1074,,1,1076
373,1,1130,,0.01,1218,,0.95,1175,,0.99,1161
374,1,1168,,0,1232,,0.14,1219,,1,978
